run_id,plate_id,well,row,col,changed,reason,method_current,cur_kind,cur_idx,cur_t,cur_n,cur_slope,cur_r2,new_kind,new_idx,new_t,new_n,new_slope,new_r2,slope_ratio_new_over_cur
260205-R1,plate1,E1,E,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,5.993333333333331,0.9649239475632179,tangent_best,0..3,6-96,4,7.053333333333332,0.9927312072084856,1.1768631813125696
260205-R1,plate1,F2,F,2,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,5.986666666666666,0.9095794118443256,tangent_best,0..3,6-96,4,7.866666666666665,0.9990815682222605,1.3140311804008906
260205-R1,plate1,F6,F,6,True,underestimate_to_tangent,initial_positive,current,0..5,6-156,6,3.8323809523809507,0.955878158205431,tangent_best,0..3,6-96,4,4.579999999999999,0.9470158013544019,1.1950795228628235
260205-R2,plate1,B1,B,1,True,underestimate_to_tangent,initial_positive,current,0..5,6-156,6,4.062857142857141,0.8619471675521964,tangent_best,0..3,6-96,4,5.96,0.9311415056970431,1.4669479606188471
260205-R2,plate1,D1,D,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,5.28,0.958374840338086,tangent_best,0..3,6-96,4,6.353333333333332,0.9970950370805453,1.2032828282828278
260205-R2,plate1,F1,F,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,4.96,0.9352355592801098,tangent_best,0..3,6-96,4,6.213333333333332,0.99316716213126,1.2526881720430105
260205-R2,plate1,H1,H,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,2.6266666666666665,0.8975877142262414,tangent_best,0..3,6-96,4,3.48,0.9903467325725086,1.3248730964467006
260205-R2,plate2,A6,A,6,True,overestimate_to_long,initial_positive_intskip2_tangent,current,7..8,216-246,2,0.5333333333333335,1.0,long_trim2,1..20 (skip 1),36-606,19,0.3276696647587899,0.9698721326306168,0.6143806214227308
260205-R2,plate2,B5,B,5,True,overestimate_to_long,initial_positive,current,4..9,126-276,6,1.2095238095238094,0.9785154117137923,long_trim2,0..19 (skip 1),6-576,19,0.780417028670721,0.9815494750830239,0.6452266772474465
260205-R3,plate1,D1,D,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,5.413333333333335,0.9687288797992443,tangent_best,0..3,6-96,4,6.366666666666665,0.9981722566064168,1.1761083743842358
260205-R3,plate1,E1,E,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,4.666666666666666,0.9132249888176531,tangent_best,0..3,6-96,4,5.999999999999999,0.9840606472932257,1.2857142857142856
260205-R3,plate1,E2,E,2,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,5.453333333333334,0.9522890551172137,tangent_best,0..3,6-96,4,6.399999999999998,0.9718238569259322,1.1735941320293393
260205-R3,plate1,F1,F,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,4.126666666666665,0.8448825599548409,tangent_best,0..3,6-96,4,5.746666666666666,0.9704874353482054,1.3925686591276256
260205-R3,plate1,F2,F,2,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,4.146666666666666,0.882587509581341,tangent_best,0..3,6-96,4,5.446666666666667,0.9612802880288028,1.313504823151126
260205-R3,plate1,G6,G,6,True,overestimate_to_long,initial_positive,current,10..15,306-456,6,0.27999999999999997,0.8235660293463762,long_trim2,0..20 (skip 2),6-606,19,0.12183677664713743,0.8794967106411697,0.435131345168348
260205-R3,plate1,H1,H,1,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,3.553333333333333,0.7870984008068003,tangent_best,0..3,6-96,4,5.22,0.955302091854622,1.4690431519699814
260205-R3,plate1,H2,H,2,True,underestimate_to_tangent,initial_positive,current,0..4,6-126,5,3.5866666666666647,0.9132223582417306,tangent_best,0..3,6-96,4,4.533333333333332,0.9692294793326066,1.2639405204460972
260205-R3,plate1,H7,H,7,True,overestimate_to_long,initial_positive,current,6..11,186-336,6,0.3352380952380953,0.9633837860252954,long_trim2,0..20 (skip 2),6-606,19,0.19846905373419957,0.9626428158894308,0.5920241659684929
